KeyID,ProdID,Name,Peanuts,Milk,Eggs,Gluten,Fish,Crustaceans,Mustard,Soy,Sesame,Sulphites,Gelatin,NonVegan,NonVegetarian,Wheat,Oats
1,TEST,All,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5000157024671,Heinz Beans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5100000100,Walkers ready salted crisps ,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0
6,5000436435457,Tesco chocolate cake,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
7,5052320529964,Tesco jelly beans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,505969773738,Tesco Fishcake,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0
9,7622210497383,Cadbury Chocolate,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,288543001450,Brown Bread,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
11,5018374888341,Eggs,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12,5057753909383,Cheddar Cheese,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13,3249659,Apples,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,3266113,Kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3265956,Strawberry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,3251416,Bananas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5052320986828,Sausage Rolls,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
18,8711327529793,Vanilla Icecream,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5054775423903,Tesco Sorbet ,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
20,8711327534377,Mint Choc Icecream,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0
21,5057967575824,Pizza (Cheese & Tomato),0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
22,5031021673343,Pancakes,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
23,5010204313771,Marshmallow,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
24,5018374207623,Custard Tarts,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
25,652655300044,Golden Oat Crumbles,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
26,5012121009003,Focacaccia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
27,5050083344756,Nutri-Grain,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
28,51000009,Salt & Vinegar Crisps,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
